Product,Price,Rating
Courela Tinto 2016,5.65,3.6
Barbera d'Alba Tre Vigne 2015,19.50,3.8
No Name 2014,34.32,4.0
Rioja Bordón Reserva 2011,10.85,3.8
Pian delle Vigne Brunello di Montalcino 2014,45.60,4.3
Almiréz 2016,14.95,4.0
Colheita Seleccionada Rouge 2010,11.70,3.2
Ammasso Rosso Sicilia 2016,16.34,4.2
Côtes du Rhône Nature Rouge 2016,10.45,3.6
Russian River Valley Zinfandel 2015,18.49,3.5
Saint-Julien (Grand Cru Classé) 2016,330.45,4.6
Halkidiki Limnio - Merlot 2013,12.49,3.2
Pomerol 2015,43.16,4.2
Toar Valpolicella Classico Superiore 2016,15.60,3.7
Arbòre Cannonau di Sardegna 2012,21.90,4.0
Ángeles de Amaren Tempranillo - Graciano 2015,15.95,4.2
Barbera 2018,6.15,3.3
Amarone della Valpolicella 2006,96.90,4.5
Castillo de Jumilla Monastrell - Tempranillo 2018,5.33,3.5
Hommage Lirac 2016,19.01,3.9
Poggio d'Arna Toscana 2014,12.90,3.6
Vinya Le Havre Reserva Cabernet Sauvignon 2013,25.75,4.0
Brunello di Montalcino 2014,32.75,3.8
Sor Ugo Bolgheri Superiore 2017,23.94,4.3
Ses Nines Negre 2018,11.25,3.8
Terrassen Zweigelt Blauer 2018,9.95,3.7
Rosso di Montalcino 2018,16.47,4.1
Riva Ranch Pinot Noir (Reliz Creek) 2017,24.15,3.9
Altos R Tempranillo 2017,6.90,3.4
Amarone della Valpolicella Classico 2016,43.61,4.2
Potenti Toscana (Suvereto) 2015,39.58,3.9
Trentatre 33 Rosso 2017,6.95,3.6
Pievasciata Rosso 2016,14.90,4.1
Brunello di Montalcino 2013,35.50,3.9
The Barossan Shiraz 2017,16.48,3.8
Nero d'Avola 2017,8.68,3.8
Bordeaux 2015,10.21,3.5
Cabernet Sauvignon 2018,8.95,3.4
Tinto 2018,9.12,3.7
Délicate N.V.,14.38,4.1
Aglianico Rubrato 2014,10.95,3.5
Gran Verano Cabernet Sauvignon 2018,6.95,3.4
Grand Estates Merlot 2015,12.40,3.7
Saint-Julien (Grand Cru Classé) 2017,86.76,4.0
Copa Santa La Méjanelle 2015,17.90,4.0
Cantodoro 2016,8.50,3.6
Vitiano San Lorenzo 2014,11.95,3.9
Disueri Nero d'Avola 2018,7.70,3.6
Kirschgarten Spatburgunder GG 2013,39.95,4.2
B 2017,11.21,3.8
Pinot Noir 2017,22.50,4.0
Protocolo Tinto 2018,5.95,3.7
Rouge 2016,16.90,3.9
Côte de Nuits Villages Le Vaucrain 2016,32,4.0
Vino Nobile di Montepulciano 2016,17.79,3.9
Yotuel Selección 2014,15.75,3.6
Lanzaga Rioja 2014,19.95,3.8
Elysian Collection Merlot 2016,26.70,3.8
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,45,3.9
Spätburgunder Trocken 2015,21.40,3.9
El Chocolatero Cariñena 2014,7.75,3.2
Hermitage La Chapelle Rouge 2016,249.95,4.3
Mas Oliveras Tempranillo 2018,6.50,3.2
Pannobile 2015,22.13,3.9
Tempus 2018,10.42,3.8
Le Clos des Fées (Hervé Bizeul) 2013,52.53,4.1
Tío Martín Crianza 2016,15.69,3.8
Vigna Del Mandorlo Dolcetto d'Alba 2017,11.50,3.4
Barolo Bussia 2015,69,4.1
Tinto 2015,5.80,3.5
Finca Cuesta Clara Raro Reserva 2015,39.99,4.2
Fronsac 2005,39.95,4.0
Ventoux 2016,8.20,3.6
Hussonet Cabernet Sauvignon Gran Reserva 2015,15.95,3.7
Salice Salentino Riserva 2016,8.49,3.9
Chianti Classico 2016,20.86,3.9
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,13.48,3.6
Brunello di Montalcino 2014,36.63,4.2
Cabernet Sauvignon 2015,17.75,3.8
Saint-Julien (Grand Cru Classé) 2009,133.06,4.4
Pessac-Léognan (Grand Cru Classé de Graves) 2005,169.95,4.4
Cabernet Sauvignon 2013,8.65,3.4
Malbec 2017,13.50,4.1
Saint-Estèphe (Grand Cru Classé) 2009,75.98,4.2
Amarone della Valpolicella Classico 2014,28.99,4.1
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,130.97,4.0
Margaux (Grand Cru Classé) 2017,86.76,4.0
Pauillac (Grand Cru Classé) 2017,52.64,3.9
Figure Libre Freestyle Rouge 2018,11.45,3.7
Pinot Noir 2018,7.27,3.6
Tinto 2018,7.35,3.6
Les Coteaux Cabernet Sauvignon 2015,11.50,3.8
Mayro Montepulciano d'Abruzzo 2015,7.75,3.7
Barbera d'Alba 2018,17,3.9
Blauer Spätburgunder 2015,11.31,3.7
Promontory 2013,721.34,4.7
Tempranillo - Merlot 2015,13.95,3.7
Sankt Laurent 2017,13.20,3.6
Gigondas 2017,24.80,3.9
Driopi Classic Agiorgitiko Nemea 2017,11.50,3.7
Magna Malbec 2018,8.95,3.5
Nero 2010,25.12,4.0
Salice Salentino 2017,6.25,3.6
Valpolicella Superiore 2014,15.84,3.7
Gevrey-Chambertin 2015,50.90,4.1
Pago de los Balagueses Garnacha Tintorera - Merlot 2014,16.90,3.8
Barolo Liste 2013,80.01,4.2
Adrianna Vineyard Fortuna Terrae Malbec 2016,89.90,4.6
Malbec de Purcari 2018,11.98,4.1
Esprit de Granit Saint-Joseph 2012,27.93,4.0
Bachgart Blauburgunder 2016,19.90,3.8
Crianza 2016,7.99,3.5
Margaux de Brane (Margaux de Henri Lurton) 2014,34.20,3.8
Shiraz 2017,10.90,3.6
Rubesco Rosso di Torgiano 2016,9.80,3.7
Yamhill Cuvée Pinot Noir 2014,59,4.3
Gran Enemigo 2015,62.39,4.5
Macán Clásico 2015,48.54,4.3
Zinfandel 2016,17.29,3.9
Reserve Malbec 2016,13.09,3.8
Saint-Estèphe 2011,36.90,3.9
Rosso di Montalcino Leopoldo Franceschi 2014,21.34,3.9
Saint-Estèphe (Grand Cru Classé) 2005,79.95,4.1
Diamond Collection Zinfandel (Red Label) 2016,21.39,3.9
Overture N.V.,154.99,4.4
Nèprica Cabernet Sauvignon 2018,8.33,3.5
Veneto Rosso del Bepi 2010,115.92,4.4
Taurasi 2015,17.45,4.1
Tributo Carmenère 2018,9.64,3.7
Lalande-de-Pomerol 2014,20.37,4.0
Coteaux Du Languedoc La Clape L'Hospitalitas 2015,71.39,4.4
Shiraz 2015,15.55,4.0
Gigondas Valbelle 2015,49.95,4.3
Primitivo di Manduria 2018,8.28,4.1
Redhill Pinotage 2017,19.40,4.2
Finca Dofí 2017,69.95,4.4
Unique Selection 2015,28.90,4.2
Sud Malvasia Nera 2016,7.25,3.9
Alboreto Nobile di Montepulciano 2016,14.13,3.9
Tempranillo Reserva 2010,34.90,4.2
Bordeaux Supérieur 2017,7.35,3.5
Valpolicella Valpantena 2017,15.67,3.8
Poggio Al Tufo Alicante 2015,20.32,3.9
Conde de Valdemar Reserva 2012,13.26,4.0
Rondeur Appassimento 2018,9.37,4.2
Zarihs Syrah 2016,15.69,4.1
Merlot Selección 2016,11.95,4.0
Tinto 2000,35,4.1
Siebeneich Merlot Riserva 2016,19.01,3.8
Cabernet Sauvignon 2017,11.99,3.8
Amarone 2012,29.12,4.2
Reserva 2012,13.95,3.9
Palha Canas Tinto 2016,8.90,3.6
12 e Mezzo Primitivo del Salento 2017,7.25,3.9
50 & 50 2013,112,4.4
Cabernet Sauvignon de Purcari 2017,12.98,4.1
Ca'Marcanda Promis Toscana 2017,30.90,4.0
Cabernet Sauvignon - Merlot 2015,9.50,3.6
Conde de Valdemar Gran Reserva 2008,19.99,4.0
Whole Berry Cabernet Sauvignon 2017,16.75,4.1
Clásico Garnacha 2018,5.99,3.6
Sideral 2017,21.45,4.2
Charles Wetmore Cabernet Sauvignon 2014,21.10,4.0
Saint-Estèphe 2012,33.90,4.0
Gran Reserva Cabernet Sauvignon 2017,11.65,3.8
Mentor Cabernet 2013,32.69,3.9
Montagne-Saint-Émilion 2016,27.20,4.0
Les Cépages Cabernet Sauvignon 2018,7.27,3.4
L'Esprit Terroir La Clape 2015,14.95,3.8
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,224.95,4.3
Pinot Noir 2017,16.72,3.7
Malbec 2018,6.45,3.7
Merlot 2015,8.29,3.6
Blaufränkisch 2017,8.98,3.5
I Sodi del Paretaio 2018,7.99,3.5
Villa Blanche Syrah 2017,7.40,3.8
Arbossar 2016,60,4.0
Amarone Della Valpolicella Marta Galli 2007,59.90,4.3
Vera Cruz Shiraz 2014,35.50,4.3
Poggio d'Arna Toscana 2016,12.58,4.0
Contador Rioja 2014,328.95,4.6
Fronsac 2015,22.37,4.0
Pinot Noir *** 2014,29.95,3.6
Lemberger Trocken 2014,9.60,3.2
Sestal 2014,31.68,4.2
Pomerol 2012,68.81,4.1
Priorat Cruor 2016,20.99,4.1
Domaine de la Madone Beaujolais Le Perréon 2018,8.67,3.7
Saint-Estèphe 2016,24.75,3.8
Valpolicella Superiore 2014,13.16,3.7
The Scribbler Cabernet - Shiraz 2013,20.76,3.6
Boom Boom! Syrah 2016,18.42,3.5
Margaux (Grand Cru Classé) 2010,79,4.2
Crianza Tempranillo 2016,12.60,3.8
Berola 2014,14.50,3.9
Blaufränkisch 2017,14.90,3.7
Spätburgunder 2017,12.40,3.5
Brunello di Montalcino Riserva 2011,447.43,4.5
Cabernet Sauvignon 2015,16.99,3.8
Italian Collection Tosca 2011,24.32,4.0
Cabernet Sauvignon 2016,21.34,4.1
Saint-Émilion Grand Cru (Grand Cru Classé) 2005,58.95,4.2
Nero d'Avola 2018,7.53,3.6
Givry 2017,19.40,3.9
Bordeaux Réserve Rouge 2015,18.90,3.4
Bricco Dei Merli Barbera d'Alba 2014,19.95,3.6
Bandol Rouge 2007,59,3.9
Teldeschi Vineyard Zinfandel 2016,33.95,4.0
Ornato Barolo 2015,81.97,4.2
Colledilà Chianti Classico Gran Selezione 2016,45,4.2
Pomerol 2013,31.20,3.8
1921 Primitivo di Manduria Riserva 2012,39.90,4.1
Martelo Reserva 2012,28.41,4.0
Rosso di Montepulciano Prugnolo 2017,12.90,3.7
Valley Oaks Cabernet Sauvignon 2016,11.19,3.6
Saint-Julien (Grand Cru Classé) 2005,88.95,4.2
The Pundit 2016,27.99,3.9
Pinot Noir 2016,34.32,3.9
Don Maximiano Founder's Reserve 2015,83.60,4.4
Marne 180 Amarone della Valpolicella 2015,31.90,4.3
Chronicon Montepulciano d'Abruzzo 2013,11.95,3.9
Emilien 2015,39.90,4.0
Pinot Nero 2016,11.50,3.6
Single Estate Red 2015,9.65,3.9
Pinot Noir 2018,11.95,3.8
Fronsac 2013,17.50,3.8
Pinot Noir 2018,9.90,3.7
Vürsù Barbaresco Gallina 2014,115.70,4.3
Montesodi Toscana 2016,44.57,4.2
Colle Ambro Rosso Piceno 2017,7.90,3.5
AN/2 2018,19.99,4.1
Oraison Côtes du Rhône 2016,8.50,3.4
Etna San Lorenzo Rosso 2017,39.90,4.2
Negroamaro 2017,6.75,3.5
Breg Rosso 2004,95.55,4.2
Gigondas Le Claux 2011,59.95,4.3
Côtes du Rhône Villages Sablet 2012,10.67,3.8
Paleo 2016,92.05,4.5
Dominio de Fontana Garnacha - Syrah 2017,7.36,3.6
Rosso di Montalcino 2017,20.90,4.0
Carchelo (C) 2017,8.92,3.6
Reserva Rioja (Finca Ygay) 2016,18,4.0
Barrel Selection Cabernet Sauvignon 2018,12.90,3.6
Syrah 2016,13.99,4.1
Don Antonio Nero d'Avola (Riserva) 2016,25.90,4.2
Wunderwerk Spätburgunder 2014,27,3.8
Clos d'Ora 2015,229,4.5
Hommage à Jacques Perrin Châteauneuf-du-Pape 2016,515,4.6
Director's Cut Zinfandel 2015,32.50,4.1
Reserva Ribera del Duero 2014,14.52,3.7
Amarone della Valpolicella Classico 2015,50.69,4.3
Châteauneuf-du-Pape 2015,32.54,4.1
Reserve Pinot Noir 2014,15.69,3.8
Malbec 2018,9.99,3.6
Rioja Reserva 2015,15.50,4.1
Moulis-en-Médoc 2014,43.77,3.9
Plumbago Nero d'Avola Sicilia 2016,13.93,3.6
Vigna Corvino Montepulciano d'Abruzzo 2018,6.32,3.8
Cabernet Sauvignon 2016,7.90,3.3
Códice 2017,5.75,3.5
Pinot Noir 2018,18.99,3.9
Aigle Les Murailles Rouge 2015,23.17,3.7
Big G 2015,23.90,4.2
Barbera d'Alba Aves 2018,24,4.0
Chinon Rouge 2015,8.75,3.5
Bardolino 2016,5.90,3.5
Provident Shiraz 2016,24.37,3.6
Perdixi 2013,19.50,3.7
Puisseguin Saint-Émilion 2013,10.75,3.4
Pissarres 2017,12.85,4.0
Arcidiavolo 2008,17.45,4.2
Colheita Alentejano Tinto 2015,9.65,3.6
Malbec 2013,16.56,3.6
Bordeaux Rouge 2014,7.95,3.2
Pauillac (Grand Cru Classé) 2011,139,4.4
Pauillac (Grand Cru Classé) 2011,76.95,4.2
Selvarossa Riserva 2014,14.95,4.0
Rocca Guicciarda Chianti Classico Riserva 2016,13.79,3.7
Diamond Collection Malbec (Celestial Blue Label) 2017,26.31,3.6
Rioja Tempranillo Elaboración Especial 2017,11.99,3.7
Pomerol 2015,46.79,4.1
1300 Merlot 2016,7.70,3.3
Tradition Spätburgunder 2017,16.90,3.8
Nebbiolo Langhe 2018,16.90,3.7
Pinot Noir 2016,14.49,3.6
Tenuta Belguardo 2015,49,3.8
Kalkmergel Spätburgunder 2014,23.38,3.8
Merlot 2015,17.79,3.7
Châteauneuf-du-Pape 2017,86.76,4.2
Chianti Classico 2016,8.29,3.4
Valdehermoso Crianza 2016,13.50,3.7
Bel Noce Primitivo 2017,9.78,4.2
Moulin des Costes Bandol Rouge 2011,115,3.7
Sapaio Bolgheri Superiore 2016,54.81,4.2
Rosso di Montalcino 2015,13.50,3.7
Côtes du Rhône 2016,7.50,3.4
Filo di Seta Brunello di Montalcino 2012,52.87,4.3
Saint-Émilion Grand Cru 2011,63.20,4.1
Quinta Generation (5th) 2016,20.42,4.2
Cuvée X 2015,40.65,4.1
Pauillac (Grand Cru Classé) 2017,154.99,4.4
Bachgart Blauburgunder 2015,42.90,3.8
Priorat 2017,77.01,4.5
Hillside Select Cabernet Sauvignon 2015,378.98,4.6
Bernoota Shiraz - Cabernet 2016,20.75,3.9
Reserva Carmenère 2018,6.33,3.6
Small Hill Red 2017,9.17,3.6
Margaux (Grand Cru Classé) 2011,89,4.2
Merlot 2016,14.84,3.7
Pessac-Léognan (Grand Cru Classé de Graves) 2006,129,4.4
Conde de Valdemar Gran Reserva 2010,18.79,4.0
Syrah 2017,7.90,3.8
Brunello di Montalcino 2012,38.30,4.1
Ganadero 2017,7.45,3.6
AS Ladieras 2015,19.24,3.8
Bin 3 Merlot - Cabernet Sauvignon 2016,13.80,3.8
Gimblett Gravels Le Sol 2015,85.27,4.3
Pomerol 2016,24.27,4.1
Memorious Pinot Noir 2015,54,4.2
Baron Nathaniel Pauillac 2016,28.08,4.2
Saga Médoc 2016,10.65,3.5
Haut-Médoc 2014,13.15,3.8
Cenit 2012,38.94,4.3
Maldoror 2005,43.95,3.7
Cuvée Juveniles 2017,24.75,3.9
Cabernet Veneto 2016,6.77,3.3
Pessac-Léognan (Grand Cru Classé de Graves) 2017,77.01,4.1
Purosangue Morellino di Scansano Sangiovese Riserva 2016,25.26,3.8
Colline Côtes du Rhône Rouge 2018,8.98,3.7
Estate Perigee (Seven Hills Vineyard) 2013,49.50,4.3
Pinot Noir Bourgogne 2018,16.90,3.9
Frauenfeld St. Laurent 2015,19.35,4.1
Signature Malbec 2017,24.75,3.9
Crozes-Hermitage Les Jalets 2016,19.39,3.7
Ripassa Valpolicella Ripasso Superiore 2015,19.99,4.2
La Segreta Il Rosso 2017,8.36,3.6
Zinfandel 2017,8.39,3.8
Margaux (Grand Cru Classé) 2009,96.99,4.2
Cabernet Sauvignon 2014,14.40,3.8
La Luna e I Falo Nizza 2015,17.95,3.7
Three Pines Cabernet Sauvignon 2016,38.99,4.0
Γουμένισσα (Goumenissa) 2015,20,3.7
Toscana Rosso 2018,7.99,3.6
Le Benjamin de Beauregard Pomerol 2016,34.90,3.9
Vigna Del Mandorlo Dolcetto d'Alba 2016,13.95,3.5
Estate Vineyards Syrah (Shiraz) 2017,23.75,4.3
Prima 2006,15.15,3.7
Cabernet Riserva 2016,20.19,3.7
Centine Rosso 2018,8.50,3.7
Sangiovese di Romagna Superiore Riserva 2016,16.64,3.9
Powerline Syrah 2016,60.84,4.3
Granja Gran Reserva Rioja 2011,49.75,4.3
Carnevalè Riserva Cannonau di Sardegna 2015,25.83,4.1
Eloy Escudero Crianza 2014,12.43,3.7
Rouge 2011,77.01,3.9
Gran Reserva 2012,18.50,3.9
Negroamaro Salento Maru 2018,7.40,3.5
1300 Malbec 2018,7.70,3.7
Gran Reserva Rioja 2008,17.25,3.9
Cabernet Sauvignon 2017,6,3.3
Cabernet Sauvignon - Merlot 2014,19.89,3.6
Haut-Médoc 2014,15.90,3.6
Castelgreve Chianti Classico Riserva 2015,17.84,3.6
Beaujolais-Villages 2019,12.14,3.9
Jester Cabernet Sauvignon 2017,18.92,3.6
Chianti 2018,7.75,3.3
Millenium Reserva 2009,82.86,4.5
Il Messo Governo Toscana 2017,7.79,3.7
Reserve Cabernet Sauvignon 2014,178.96,4.2
La Gravette de Certan Pomerol 2013,48.50,4.2
Grenache Noir 2018,5.50,3.8
Cabernet Sauvignon 2015,7.18,3.4
Maestro Raro 2014,50.67,4.0
Buzzard Kloof Syrah 2014,19.80,3.6
Grand Reserve 2014,26.95,4.1
Aussières Rouge (Red Blend) 2017,8.32,3.5
Mount Edelstone Shiraz 2014,179,4.4
Amarone della Valpolicella Classico 2016,50.60,4.1
Saint-Julien (Grand Cru Classé) 2017,95.53,4.2
Reserve 2015,9.95,3.5
Saint-Estèphe 2017,44.84,3.7
Santa Rita Rosso di Valtelina 2014,11.50,3.5
Limited Release Cabernet Sauvignon 2014,11.80,4.1
1851 Reserva Cabernet Sauvignon 2017,11.47,3.3
Château Romassan Rouge 2016,33.90,3.9
Pauillac (Grand Cru Classé) 2014,94.80,4.0
Pauillac (Grand Cru Classé) 2010,249,4.5
Pinot Noir 2016,39.95,3.9
St. Henri Shiraz 2013,109.13,4.4
Pinot Noir 2016,54.59,4.2
Negru de Purcari 2015,98.98,4.4
Oakville Cabernet Sauvignon 2014,55.79,4.2
Douro Reserva Red 2016,21.05,4.0
Saint-Julien (Grand Cru Classé) 2010,87.24,4.2
Saint-Julien (Grand Cru Classé) 2001,108.95,4.3
Reserva de Familia Syrah 2014,33.95,4.2
Oberbergener Bassgeige Spätburgunder 2017,14.70,3.6
Brolo del Figaretto Amarone della Valpolicella Valpantena 2015,29.50,4.2
La Nieta 2007,83.95,4.6
Merlot 2014,8.41,3.7
Èrema 2016,14.57,3.8
Saint-Julien (Grand Cru Classé) 2017,86.76,3.9
Vigna di Sessina Chianti Classico Gran Selezione 2015,42,4.4
Bardolino Classico 2018,4.70,3.5
Reserva Cabernet Sauvignon 2013,12.62,3.3
Brauneberger Klostergarten Pinot Noir*** 2014,38.79,4.0
Valpolicella Ripasso Classico Superiore Il Vegro 2017,13.40,3.8
Barbera d'Alba 2016,11.90,4.1
Reserva Cabernet Sauvignon 2014,5.99,3.4
Saint-Émilion Grand Cru (Grand Cru Classé) 2014,46.79,3.8
Spätburgunder 2017,10.95,3.6
Giorgio 2011,59,4.2
Rioja Gran Reserva 2011,41.04,4.1
Margaux (Grand Cru Classé) 2005,119.95,4.4
Montefalco Rosso 2016,14.54,3.7
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,239.95,4.5
Toscana 2015,38.50,3.9
The Stump Jump Grenache - Shiraz - Mourvedre 2016,8.50,3.6
Finca Alejandro 2013,9.99,3.8
Chianti Classico Riserva 2013,18.50,3.9
Puro Corte 2018,14.89,3.9
Bardolino 2018,5.50,3.5
La Baronnie Madeleine Chinon 2015,16.69,3.8
Lagrein Schweizer 2017,24.46,3.8
Vindoro Negroamaro 2016,18.90,4.3
Sasyr Sangiovese - Syrah Toscana 2016,9.26,3.9
Frans Malan Cape Blend 2016,19.95,4.2
Barolo Brunate 2015,128.91,4.2
